time_offset, pm10, pm25, pm40, pm100, rh, t, voc, nox
   12.215,  11.5,  12.4,  12.7,  12.9, 46.18, 27.655,    5.0,       
   72.215,  11.4,  12.2,  12.5,  12.6, 46.16,  27.67,    5.0,       
  132.215,  11.0,  12.0,  12.4,  12.5, 46.18, 27.685,    5.0,       
  192.215,  11.4,  12.3,  12.6,  12.8, 46.15,   27.7,    5.0,       
  252.215,  11.8,  12.8,  13.2,  13.4, 46.35,  27.72,    5.0,       
  312.215,  12.1,  13.1,  13.4,  13.5, 46.31, 27.735,    5.0,       
  372.215,  11.7,  12.7,  13.0,  13.1, 46.17,  27.75,    5.0,       
  432.215,  12.3,  13.2,  13.5,  13.6, 46.17, 27.765,    5.0,       
  492.215,  11.9,  12.8,  13.1,  13.3, 46.15,  27.78,    5.0,       
  552.215,  11.3,  11.9,  11.9,  11.9, 46.02,   27.8,    5.0,       
  612.215,  10.9,  11.6,  11.7,  11.7, 46.05,  27.81,    5.0,       
  672.215,  11.3,  11.9,  12.0,  12.0,  46.0,  27.83,    4.0,       
  732.215,  11.4,  12.4,  12.7,  12.8, 45.98,  27.85,    4.0,       
  792.215,  10.8,  11.7,  12.0,  12.1, 45.96,  27.87,    4.0,       
  852.215,  11.4,  12.2,  12.3,  12.4, 46.03,  27.88,    4.0,       
  912.215,  12.1,  13.1,  13.4,  13.6, 46.02, 27.895,    4.0,       
  972.215,  11.9,  13.0,  13.4,  13.6, 46.06, 27.915,    4.0,       
 1032.215,  12.0,  13.0,  13.3,  13.5, 46.04, 27.935,    4.0,       
 1092.215,  12.1,  13.0,  13.4,  13.5, 46.06,  27.96,    4.0,       
 1152.215,  12.6,  13.6,  14.0,  14.1, 46.08,  27.98,    4.0,       
 1212.215,  12.9,  13.5,  13.5,  13.5, 45.95,   28.0,    3.0,       
 1272.215,  11.7,  12.7,  13.1,  13.3, 45.98,  28.02,    3.0,       
 1332.215,  11.8,  12.8,  13.2,  13.3, 45.98,  28.04,    3.0,       
 1392.215,  11.3,  12.0,  12.1,  12.1, 45.92, 28.065,    3.0,       
 1452.215,  12.2,  13.2,  13.5,  13.7,  46.0, 28.085,    3.0,       
 1512.215,  11.6,  12.6,  13.0,  13.2, 45.89, 28.105,    3.0,       
 1572.215,  12.8,  13.4,  13.4,  13.4,  45.8, 28.135,    3.0,       
 1632.215,  12.4,  13.3,  13.5,  13.6, 45.76,  28.16,    3.0,       
 1692.215,  12.3,  12.9,  12.9,  12.9, 45.67, 28.185,    3.0,       
 1752.215,  12.2,  13.2,  13.6,  13.8, 45.77,  28.21,    3.0,       
 1812.215,  11.4,  12.5,  12.8,  13.0, 45.65, 28.235,    3.0,       
 1872.215,  12.8,  13.9,  14.2,  14.3, 45.66,  28.26,    3.0,       
 1932.215,  11.9,  12.8,  13.0,  13.1, 45.74,  28.28,    3.0,       
 1992.215,  12.6,  13.7,  14.2,  14.4, 45.63, 28.305,    3.0,       
 2052.215,  12.0,  13.0,  13.3,  13.4, 45.72,  28.33,    3.0,       
 2112.215,  12.0,  12.8,  13.0,  13.1, 45.53, 28.355,    3.0,       
 2172.215,  11.9,  12.9,  13.2,  13.4, 45.48,  28.38,    2.0,       
 2232.215,  12.2,  13.2,  13.5,  13.7, 45.47, 28.405,    2.0,       
 2292.215,  12.3,  13.4,  13.7,  13.8, 45.39,  28.44,    2.0,       
 2352.215,  10.8,  11.6,  11.9,  12.0, 45.42, 28.465,    3.0,       
 2412.215,  11.5,  12.4,  12.7,  12.8, 45.43,   28.5,    3.0,       
 2472.215,  10.6,  11.5,  11.8,  11.9, 45.35,  28.53,    2.0,       
 2532.215,  11.1,  12.0,  12.2,  12.4, 45.37, 28.565,    3.0,       
 2592.215,  10.2,  10.9,  11.1,  11.1, 45.35, 28.595,    2.0,       
 2652.215,  10.2,  10.7,  10.7,  10.7, 45.35, 28.635,    3.0,       
 2712.215,  10.3,  10.9,  10.9,  10.9, 45.38, 28.675,    3.0,       
 2772.215,   9.8,  10.3,  10.3,  10.3, 45.34,  28.71,    2.0,       
 2832.215,  10.0,  10.5,  10.5,  10.5, 45.34,  28.74,    3.0,       
 2892.215,  10.9,  11.5,  11.5,  11.5,  45.4, 28.775,    3.0,       
 2952.215,  10.6,  11.4,  11.8,  11.9, 45.46,  28.81,    3.0,       
 3012.215,  11.2,  12.0,  12.3,  12.4, 45.52,  28.85,    3.0,       
 3072.215,  10.1,  11.0,  11.3,  11.4, 45.36,  28.88,    3.0,       
 3132.215,  11.2,  12.1,  12.4,  12.5, 45.62,  28.92,    4.0,       
 3192.215,  11.4,  12.0,  12.0,  12.0, 45.52,  28.95,    5.0,       
 3252.215,  11.8,  12.5,  12.5,  12.5, 45.57,  28.98,    6.0,       
 3312.215,  12.3,  13.3,  13.7,  13.9, 45.71, 29.015,    7.0,       
 3372.215,  13.6,  14.7,  15.1,  15.2,  45.8,  29.05,    8.0,       
 3432.215,  13.3,  14.6,  15.1,  15.3, 45.78, 29.075,   10.0,       
 3492.215,  14.6,  15.8,  16.2,  16.4,  46.2, 29.095,   19.0,       
 3552.215,  16.2,  17.6,  18.1,  18.4,  46.6,  29.12,   61.0,       
 3612.215,  19.8,  21.7,  22.5,  22.8, 47.14,  29.12,  114.0,       
 3672.215,  19.6,  21.4,  22.2,  22.5, 47.22,  29.12,  116.0,       
 3732.215,  20.0,  21.9,  22.8,  23.1, 47.12,  29.12,  118.0,       
 3792.215,  21.3,  23.2,  23.9,  24.3, 47.23, 29.115,  119.0,       
 3852.215,  20.8,  22.4,  23.0,  23.2, 47.24,  29.11,  121.0,       
 3912.215,  21.3,  23.3,  24.0,  24.4, 47.24,  29.11,  123.0,       
 3972.215,  20.8,  22.7,  23.4,  23.8, 47.23,  29.11,  124.0,       
 4032.215,  21.0,  22.9,  23.7,  24.0, 47.28, 29.105,  128.0,       
 4092.215,  20.2,  22.0,  22.6,  22.9, 47.28, 29.105,  129.0,       
 4152.215,  21.6,  23.8,  24.7,  25.1, 47.33,  29.11,  131.0,       
 4212.215,  21.4,  23.5,  24.3,  24.7, 47.28,  29.11,  133.0,       
 4272.215,  21.3,  23.3,  24.2,  24.5, 47.37, 29.115,  134.0,       
 4332.215,  22.3,  24.4,  25.2,  25.6, 47.41, 29.115,  136.0,       
 4392.215,  21.5,  23.7,  24.7,  25.1, 47.34,  29.12,  138.0,       
 4452.215,  22.2,  24.2,  25.0,  25.3, 47.43, 29.125,  138.0,       
 4512.215,  22.0,  23.7,  24.2,  24.5, 47.41, 29.125,  139.0,       
 4572.215,  22.7,  25.0,  25.9,  26.3, 47.38, 29.125,  138.0,       
 4632.215,  22.4,  24.3,  25.0,  25.4, 47.38, 29.125,  138.0,       
 4692.215,  21.9,  23.9,  24.6,  24.9,  47.7,  29.12,  138.0,       
 4752.215,  20.7,  22.6,  23.3,  23.7, 47.61, 29.115,  137.0,       
 4812.215,  19.7,  21.5,  22.1,  22.4, 47.63, 29.115,  137.0,       
 4872.215,  19.6,  21.4,  22.1,  22.4, 47.57,  29.11,  138.0,       
 4932.215,  20.0,  21.8,  22.5,  22.8, 47.56, 29.105,  143.0,       
 4992.215,  21.2,  23.0,  23.6,  23.9, 47.45, 29.105,  145.0,       
 5052.215,  19.8,  21.5,  22.1,  22.4, 47.64, 29.105,  146.0,       
 5112.215,  20.0,  21.6,  22.2,  22.4, 47.72,   29.1,  146.0,       
 5172.215,  20.7,  22.7,  23.5,  23.9, 47.63,   29.1,  147.0,       
 5232.215,  19.8,  21.7,  22.4,  22.7, 47.81, 29.095,  149.0,       
 5292.215,  19.0,  20.6,  21.2,  21.5, 47.82,  29.09,  151.0,       
 5352.215,  20.3,  22.0,  22.6,  22.8, 47.92, 29.085,  152.0,       
 5412.215,  19.9,  21.5,  22.1,  22.3,  47.9,  29.08,  148.0,       
 5472.215,  19.6,  21.3,  21.8,  22.1, 47.83, 29.075,  148.0,       
 5532.215,  19.8,  21.4,  22.0,  22.2, 47.94, 29.075,  145.0,       
 5592.215,  19.0,  20.9,  21.7,  22.0, 47.76,  29.07,  134.0,       
 5652.215,  20.1,  21.8,  22.4,  22.7, 47.77, 29.075,  128.0,       
 5712.215,  19.8,  21.4,  21.9,  22.1, 47.81, 29.075,  128.0,       
 5772.215,  20.2,  22.0,  22.6,  22.9,  47.7, 29.075,  129.0,       
